engagement_id,user_id,date,session_min,feature_viewed,goal_completed,notif_sent,notif_clicked
1,1,2026-02-21,4.3,Sleep Score,0,0,0
2,1,2026-02-21,4.3,Sleep Stages,0,0,0
3,1,2026-02-21,4.3,Activity Ring,0,0,0
4,1,2026-02-21,4.3,Trends,0,0,0
5,1,2026-02-22,5.4,Goals,0,1,1
6,1,2026-02-23,7.6,Activity Ring,1,1,1
7,1,2026-02-23,7.6,Sleep Score,1,1,1
8,1,2026-02-23,7.6,Readiness Score,1,1,1
9,1,2026-02-24,6.6,Activity Ring,1,1,0
10,1,2026-02-24,6.6,Sleep Score,1,1,0
11,1,2026-02-24,6.6,Readiness Score,1,1,0
12,1,2026-02-25,6.6,Readiness Score,1,1,0
13,1,2026-02-25,6.6,HRV Chart,1,1,0
14,1,2026-02-25,6.6,Goals,1,1,0
15,1,2026-02-25,6.6,Sleep Score,1,1,0
16,1,2026-02-25,6.6,Activity Ring,1,1,0
17,1,2026-02-26,5.1,Readiness Score,0,0,0
18,1,2026-02-26,5.1,Activity Ring,0,0,0
19,1,2026-02-27,2.4,HRV Chart,0,1,0
20,1,2026-02-27,2.4,Goals,0,1,0
21,1,2026-02-27,2.4,Readiness Score,0,1,0
22,1,2026-02-27,2.4,Sleep Score,0,1,0
23,1,2026-02-28,2.5,Notifications,1,1,0
24,1,2026-02-28,2.5,Activity Ring,1,1,0
25,1,2026-02-28,2.5,Trends,1,1,0
26,1,2026-02-28,2.5,Sleep Score,1,1,0
27,1,2026-03-01,6.3,Sleep Stages,1,1,0
28,1,2026-03-01,6.3,Sleep Score,1,1,0
29,1,2026-03-02,1.8,Readiness Score,1,1,1
30,1,2026-03-02,1.8,HRV Chart,1,1,1
31,1,2026-03-02,1.8,Sleep Score,1,1,1
32,1,2026-03-02,1.8,Activity Ring,1,1,1
33,1,2026-03-02,1.8,Goals,1,1,1
34,1,2026-03-02,1.8,Trends,1,1,1
35,1,2026-03-03,3.5,HRV Chart,1,1,0
36,1,2026-03-03,3.5,Readiness Score,1,1,0
37,1,2026-03-03,3.5,Sleep Score,1,1,0
38,1,2026-03-03,3.5,Activity Ring,1,1,0
39,1,2026-03-04,5.8,Readiness Score,0,1,0
40,1,2026-03-04,5.8,Sleep Score,0,1,0
41,1,2026-03-04,5.8,HRV Chart,0,1,0
42,1,2026-03-04,5.8,Trends,0,1,0
43,1,2026-03-05,5.5,Readiness Score,1,1,0
44,1,2026-03-05,5.5,Trends,1,1,0
45,1,2026-03-05,5.5,HRV Chart,1,1,0
46,1,2026-03-05,5.5,Sleep Stages,1,1,0
47,1,2026-03-05,5.5,Notifications,1,1,0
48,1,2026-03-06,1.5,Readiness Score,0,1,1
49,1,2026-03-06,1.5,Sleep Score,0,1,1
50,1,2026-03-06,1.5,Goals,0,1,1
51,1,2026-03-06,1.5,Activity Ring,0,1,1
52,1,2026-03-06,1.5,Trends,0,1,1
53,1,2026-03-07,1.4,Activity Ring,1,1,0
54,1,2026-03-07,1.4,Readiness Score,1,1,0
55,1,2026-03-07,1.4,Sleep Score,1,1,0
56,1,2026-03-08,2.0,Sleep Stages,1,1,0
57,1,2026-03-09,2.0,Activity Ring,0,0,0
58,1,2026-03-09,2.0,Sleep Score,0,0,0
59,1,2026-03-09,2.0,HRV Chart,0,0,0
60,1,2026-03-09,2.0,Readiness Score,0,0,0
61,1,2026-03-10,0.8,Sleep Stages,1,1,1
62,1,2026-03-11,4.2,Sleep Stages,1,0,0
63,1,2026-03-12,5.3,Trends,1,1,1
64,1,2026-03-12,5.3,Notifications,1,1,1
65,1,2026-03-12,5.3,Readiness Score,1,1,1
66,1,2026-03-13,4.8,HRV Chart,0,1,0
67,1,2026-03-13,4.8,Sleep Score,0,1,0
68,1,2026-03-14,3.4,HRV Chart,0,1,1
69,1,2026-03-14,3.4,Sleep Score,0,1,1
70,1,2026-03-14,3.4,Trends,0,1,1
71,1,2026-03-15,2.5,HRV Chart,1,0,0
72,1,2026-03-15,2.5,Sleep Stages,1,0,0
73,1,2026-03-15,2.5,Readiness Score,1,0,0
74,1,2026-03-15,2.5,Activity Ring,1,0,0
75,1,2026-03-16,6.4,Activity Ring,1,1,1
76,1,2026-03-16,6.4,Sleep Stages,1,1,1
77,1,2026-03-16,6.4,HRV Chart,1,1,1
78,1,2026-03-17,8.1,HRV Chart,0,1,1
79,1,2026-03-17,8.1,Sleep Score,0,1,1
80,1,2026-03-17,8.1,Trends,0,1,1
81,1,2026-03-17,8.1,Sleep Stages,0,1,1
82,1,2026-03-17,8.1,Readiness Score,0,1,1
83,1,2026-03-18,0.5,Trends,0,1,1
84,1,2026-03-18,0.5,Activity Ring,0,1,1
85,1,2026-03-18,0.5,Goals,0,1,1
86,1,2026-03-18,0.5,Readiness Score,0,1,1
87,1,2026-03-18,0.5,Sleep Stages,0,1,1
88,1,2026-03-19,4.2,HRV Chart,1,1,0
89,1,2026-03-19,4.2,Sleep Stages,1,1,0
90,1,2026-03-19,4.2,Readiness Score,1,1,0
91,1,2026-03-19,4.2,Activity Ring,1,1,0
92,1,2026-03-20,6.6,Sleep Score,1,0,0
93,1,2026-03-20,6.6,Readiness Score,1,0,0
